18:07:00 ~ 18:07:02	那這樣我今天準備一份簡報
18:21:58 ~ 18:21:59	情況下可以產生溫度
18:21:59 ~ 18:22:00	那在熱情上的
18:22:00 ~ 18:22:01	畫面上就可以看到
18:22:01 ~ 18:22:02	很明顯的四個點
18:22:02 ~ 18:22:04	那這種畫會有助於
18:22:05 ~ 18:22:05	我
18:22:05 ~ 18:22:06	就是在
18:22:06 ~ 18:22:07	指定了這個標
18:22:08 ~ 18:22:10	標記點位跟對齊的這個結果
18:22:12 ~ 18:22:13	那這是對齊偶的結果
18:22:13 ~ 18:22:14	就是從原本
18:22:14 ~ 18:22:16	左邊這個畫面把它對齊
18:22:16 ~ 18:22:17	最後偏偏右邊
18:22:17 ~ 18:22:18	這個結果
18:22:20 ~ 18:22:20	那
18:22:21 ~ 18:22:22	那
18:22:22 ~ 18:22:23	目前就是因為
18:22:23 ~ 18:22:24	我的設備是指結架
18:22:24 ~ 18:22:25	是在符版上面
18:22:25 ~ 18:22:26	所謂的說
18:22:27 ~ 18:22:29	它就是標資完之後
18:22:29 ~ 18:22:30	它就可以一直拍攝到
18:22:30 ~ 18:22:32	這批的栽培結束這樣
18:22:33 ~ 18:22:35	那在實際上在手機的畫面
18:22:35 ~ 18:22:36	頭其實會有可能
18:22:36 ~ 18:22:38	會遭遇到一些問題
18:22:38 ~ 18:22:38	像是說
18:22:40 ~ 18:22:42	RGB影像對於可能
18:22:42 ~ 18:22:45	那個LED燈對於RGB營養
18:22:45 ~ 18:22:46	可能會有一些水潑紋的一個產生
18:22:48 ~ 18:22:49	這個部分的話
18:22:49 ~ 18:22:50	我會以
18:22:50 ~ 18:22:52	我這採用那個疊磨方式
18:22:52 ~ 18:22:53	去把它
18:22:53 ~ 18:22:54	水潑紋這個方式
18:22:54 ~ 18:22:56	的影像讓它盡量
18:22:57 ~ 18:22:57	把它消除掉
18:22:59 ~ 18:23:01	然後消除完之後呢
18:23:01 ~ 18:23:03	再把這個消除後的結果
18:23:03 ~ 18:23:04	然後用
18:23:04 ~ 18:23:05	比它的
18:23:06 ~ 18:23:06	用
18:23:07 ~ 18:23:09	Plan cv這個線紐的寒刺庫
18:23:09 ~ 18:23:10	去把這個輪廓
18:23:11 ~ 18:23:12	RGB的輪廓標示出來之後
18:23:12 ~ 18:23:14	去做一個遮造
18:23:14 ~ 18:23:14	讓
18:23:14 ~ 18:23:17	可以讓溫度的變化
18:23:17 ~ 18:23:18	可以讓整個遮造下來
18:23:19 ~ 18:23:20	就可以
18:23:20 ~ 18:23:22	就有這個方式去把整個業制
18:23:23 ~ 18:23:25	範圍內的溫度把它標示出來
18:23:26 ~ 18:23:27	同時呢
18:23:27 ~ 18:23:28	在Witermine那邊
18:23:28 ~ 18:23:29	接著
18:23:29 ~ 18:23:30	G-G-N-C-N-E
18:23:30 ~ 18:23:31	G-Wang
18:23:31 ~ 18:23:32	C-D-W-G-G-R
18:23:32 ~ 18:23:34	還是有脫這個兩側
18:23:35 ~ 18:23:36	那
18:23:36 ~ 18:23:37	這是我目的
18:23:37 ~ 18:23:38	多的課程
18:23:38 ~ 18:23:39	那目前
18:23:39 ~ 18:23:40	按照系上規定
18:23:40 ~ 18:23:43	還是就課一個大數學分以上
18:23:43 ~ 18:23:44	就可以申請這個考
18:23:45 ~ 18:23:47	這個考試
18:23:47 ~ 18:23:48	那目前我已經
18:23:48 ~ 18:23:49	還系上的
18:23:49 ~ 18:23:50	英雄科目
18:23:50 ~ 18:23:52	與共休的38個學分
18:23:53 ~ 18:23:54	那預計要考的
18:23:55 ~ 18:23:57	科目是紅色字體做標示
18:23:57 ~ 18:23:58	跑過了系統工程
18:23:58 ~ 18:24:00	動機統模擬以及座形控制
18:24:02 ~ 18:24:04	那在於這個考的重要的
18:24:05 ~ 18:24:06	之間的話
18:24:06 ~ 18:24:06	就是
18:24:06 ~ 18:24:10	在6月15號前提出這個考的申請
18:24:10 ~ 18:24:13	然後在預計是兩月內把
18:24:13 ~ 18:24:14	比式考完
18:24:14 ~ 18:24:16	在9月15號前提出
18:24:17 ~ 18:24:18	這個考考試
18:24:18 ~ 18:24:19	用
18:24:19 ~ 18:24:22	導致更多給我一些指導意見
18:24:24 ~ 18:24:25	那
18:24:26 ~ 18:24:27	那我的爆發到這支人
18:24:27 ~ 18:24:28	提出
18:24:28 ~ 18:24:29	是
18:24:33 ~ 18:24:34	其實
18:24:34 ~ 18:24:35	那我就先講了
18:24:38 ~ 18:24:40	我想考試的科目應該是沒有問題
18:24:40 ~ 18:24:44	因為跟你做的那個主題也蠻相關的
18:24:44 ~ 18:24:45	這個是
18:24:45 ~ 18:24:46	那第二個
18:24:46 ~ 18:24:48	你做的這個題目
18:24:48 ~ 18:24:49	真的是很有趣
18:24:49 ~ 18:24:50	而且
18:24:50 ~ 18:24:51	如果你這個
18:24:51 ~ 18:24:52	你這個
18:24:52 ~ 18:24:54	這個真測的這個裝置
18:24:54 ~ 18:24:55	如果
18:24:55 ~ 18:24:56	做得出來
18:24:56 ~ 18:24:58	還有很好用的話
18:24:58 ~ 18:24:59	應該
18:24:59 ~ 18:25:00	可以
18:25:00 ~ 18:25:02	可以對這個
18:25:02 ~ 18:25:03	用這個相以來
18:25:03 ~ 18:25:04	來做這個什麼
18:25:04 ~ 18:25:05	也問什麼
18:25:05 ~ 18:25:06	讓真測
18:25:06 ~ 18:25:07	會
18:25:07 ~ 18:25:08	這種主題
18:25:08 ~ 18:25:09	會
18:25:09 ~ 18:25:10	會有很大的貢獻
18:25:10 ~ 18:25:11	那我比較
18:25:11 ~ 18:25:12	比較想要知道
18:25:12 ~ 18:25:13	就是說
18:25:13 ~ 18:25:15	因為你是用低成本的這些
18:25:15 ~ 18:25:16	還有影像
18:25:16 ~ 18:25:18	相關的這些設備
18:25:18 ~ 18:25:19	你在你的研究
18:25:20 ~ 18:25:21	泡工以對
18:25:21 ~ 18:25:22	第二頁
18:25:22 ~ 18:25:25	就是你研究方向的第六十二這裡
18:25:25 ~ 18:25:26	好
18:25:26 ~ 18:25:28	六十二和六十三
18:25:28 ~ 18:25:29	沒關係
18:25:29 ~ 18:25:29	
18:25:29 ~ 18:25:30	六十三好了
18:25:30 ~ 18:25:31	六十三好了
18:25:31 ~ 18:25:32	好
18:25:32 ~ 18:25:33	好
18:25:33 ~ 18:25:35	你這個
18:25:35 ~ 18:25:36	這個
18:25:36 ~ 18:25:37	這個像畫面
18:25:37 ~ 18:25:38	我現在想要知道
18:25:38 ~ 18:25:39	就是說
18:25:39 ~ 18:25:40	你有沒有做過簡定
18:25:40 ~ 18:25:42	說你這邊的
18:25:42 ~ 18:25:42	
18:25:42 ~ 18:25:44	這個圖像
18:25:44 ~ 18:25:46	有跟那個經歷的儀器
18:25:46 ~ 18:25:47	做過
18:25:47 ~ 18:25:48	做過簡定
18:25:48 ~ 18:25:50	比如說你這個設成
18:25:50 ~ 18:25:51	是什麼
18:25:51 ~ 18:25:52	比如綠色
18:25:52 ~ 18:25:53	或是黃色
18:25:53 ~ 18:25:55	代表是多少度這樣
18:25:55 ~ 18:25:57	這個
18:25:57 ~ 18:25:59	這個動作做了嗎
18:25:59 ~ 18:26:00	這動作還
18:26:00 ~ 18:26:02	到時候要回饋
18:26:02 ~ 18:26:04	轉換成那個真正的葉紋
18:26:04 ~ 18:26:05	比如說你可能
18:26:05 ~ 18:26:06	可以找一台
18:26:06 ~ 18:26:07	熱像
18:26:07 ~ 18:26:08	然後
18:26:08 ~ 18:26:08	
18:26:08 ~ 18:26:09	測定一下
18:26:09 ~ 18:26:10	你的
18:26:10 ~ 18:26:11	你用這個
18:26:11 ~ 18:26:13	比較低成本的
18:26:13 ~ 18:26:15	這種熱顯箱的
18:26:15 ~ 18:26:16	這種技術
18:26:16 ~ 18:26:18	到底可以用性
18:26:18 ~ 18:26:20	是到什麼程度這樣
18:26:20 ~ 18:26:22	真的
18:26:22 ~ 18:26:24	我這邊直接回答嗎
18:26:24 ~ 18:26:26	好你直接回答
18:26:26 ~ 18:26:27	好
18:26:27 ~ 18:26:29	這個東西其實
18:26:29 ~ 18:26:30	這個顏色的呈現
18:26:30 ~ 18:26:31	是我在城市
18:26:31 ~ 18:26:33	沒去把它
18:26:33 ~ 18:26:34	定一出來的
18:26:34 ~ 18:26:36	所以其實我當我拿到
18:26:36 ~ 18:26:38	整個畫面
18:26:38 ~ 18:26:40	其實它是一個溫度的舉證
18:26:40 ~ 18:26:41	然後再根據每一個溫度
18:26:41 ~ 18:26:43	幾乘去換算對你的畫面而已
18:26:43 ~ 18:26:45	所以我這邊會手上其實
18:26:45 ~ 18:26:47	是有存到說
18:26:47 ~ 18:26:48	各個
18:26:48 ~ 18:26:49	皮手上
18:26:49 ~ 18:26:51	溫度應該是幾度
18:26:51 ~ 18:26:52	對
18:26:52 ~ 18:26:55	我覺得後續可能會在
18:26:55 ~ 18:26:57	我之前會不會是說
18:26:57 ~ 18:27:00	你今天做這個拍攝
18:27:00 ~ 18:27:01	比較
18:27:01 ~ 18:27:02	A作物
18:27:02 ~ 18:27:04	現在是要拍B作物的時候
18:27:04 ~ 18:27:07	你又要再重新做一次
18:27:07 ~ 18:27:08	類似
18:27:08 ~ 18:27:09	溫度激震
18:27:09 ~ 18:27:10	什麼計算
18:27:10 ~ 18:27:11	什麼之類的
18:27:11 ~ 18:27:14	那色素就不一樣了
18:27:14 ~ 18:27:17	目前的色程它是採用
18:27:17 ~ 18:27:19	浮動的方式去做表示
18:27:19 ~ 18:27:20	因為我是個希望說
18:27:20 ~ 18:27:21	因為我主要是看
18:27:21 ~ 18:27:23	葉子這一塊
18:27:23 ~ 18:27:24	那葉子其實
18:27:24 ~ 18:27:26	它對於換整個環境來講
18:27:26 ~ 18:27:27	它的溫度是相對低的
18:27:27 ~ 18:27:28	那所以
18:27:28 ~ 18:27:29	我在量測的時候
18:27:29 ~ 18:27:30	我會去
18:27:30 ~ 18:27:32	把這個溫度稍微以它
18:27:32 ~ 18:27:33	我也是一個計算點
18:27:33 ~ 18:27:35	去做上下一個色程的一個
18:27:35 ~ 18:27:37	一個定
18:27:37 ~ 18:27:38	範圍做的
18:27:38 ~ 18:27:39	這個標定這個部分
18:27:39 ~ 18:27:40	然後標定的結果
18:27:40 ~ 18:27:41	我也會存到我的
18:27:41 ~ 18:27:42	SD卡裡面
18:27:42 ~ 18:27:44	所以其實
18:27:44 ~ 18:27:45	對對對對
18:27:45 ~ 18:27:46	那它整個判算的公司
18:27:46 ~ 18:27:47	其實都在
18:27:47 ~ 18:27:48	都是
18:27:48 ~ 18:27:49	程式裡面
18:27:49 ~ 18:27:49	
18:27:49 ~ 18:27:50	可以去做
18:27:50 ~ 18:27:51	偉會這樣
18:27:51 ~ 18:27:53	你這個回答不太
18:27:53 ~ 18:27:54	不太
18:27:54 ~ 18:27:55	精確
18:27:55 ~ 18:27:57	那個江老師在問的是
18:27:57 ~ 18:27:58	你的
18:27:58 ~ 18:28:00	你的
18:28:00 ~ 18:28:01	你的
18:28:01 ~ 18:28:02	CAMERA拍出來說
18:28:02 ~ 18:28:03	這個東西25度
18:28:03 ~ 18:28:05	它實際是不是
18:28:05 ~ 18:28:06	真的
18:28:06 ~ 18:28:07	你要有
18:28:07 ~ 18:28:09	一個比較精確的
18:28:09 ~ 18:28:11	儀器去證明
18:28:11 ~ 18:28:12	你要知道你的
18:28:12 ~ 18:28:13	因為你用的是
18:28:13 ~ 18:28:14	廉價的
18:28:14 ~ 18:28:15	熱像儀
18:28:15 ~ 18:28:16	那你是
18:28:16 ~ 18:28:17	要找一個
18:28:17 ~ 18:28:18	比較好一點的熱像
18:28:18 ~ 18:28:19	儀來拍
18:28:19 ~ 18:28:20	然後你們兩個
18:28:20 ~ 18:28:21	拍的結果
18:28:21 ~ 18:28:22	來比對
18:28:22 ~ 18:28:24	另外也可以
18:28:24 ~ 18:28:25	用紅外線的
18:28:25 ~ 18:28:26	單點的溫度
18:28:26 ~ 18:28:27	機去
18:28:27 ~ 18:28:29	量一個點的溫度
18:28:29 ~ 18:28:30	然後你
18:28:30 ~ 18:28:31	去 double check
18:28:31 ~ 18:28:32	你這邊
18:28:32 ~ 18:28:34	出來說是多少度
18:28:34 ~ 18:28:35	然後那個單點的
18:28:35 ~ 18:28:36	溫度機
18:28:36 ~ 18:28:37	說是多少度
18:28:37 ~ 18:28:39	你要做這種 double check
18:28:39 ~ 18:28:40	對
18:28:40 ~ 18:28:41	你到時候
18:28:41 ~ 18:28:42	你這個
18:28:42 ~ 18:28:43	如果要投稿
18:28:43 ~ 18:28:44	我想旅遊已經會
18:28:44 ~ 18:28:45	先關心你
18:28:45 ~ 18:28:46	你出來的
18:28:46 ~ 18:28:47	這些數據
18:28:47 ~ 18:28:48	或是圖像
18:28:48 ~ 18:28:49	代表
18:28:49 ~ 18:28:50	代表的溫度
18:28:50 ~ 18:28:51	是不是準確的
18:28:51 ~ 18:28:53	前面的這個
18:28:53 ~ 18:28:54	確認了
18:28:54 ~ 18:28:55	後面你做的結果
18:28:55 ~ 18:28:56	人家才會
18:28:56 ~ 18:28:58	才可以睡無人家
18:28:58 ~ 18:29:00	我
18:29:00 ~ 18:29:02	我又還拍這方面的
18:29:02 ~ 18:29:03	實驗
18:29:03 ~ 18:29:04	對
18:29:04 ~ 18:29:05	就是還沒有
18:29:05 ~ 18:29:06	就做這個
18:29:06 ~ 18:29:07	圈的
18:29:07 ~ 18:29:08	墨甲沒有
18:29:08 ~ 18:29:09	對
18:29:09 ~ 18:29:10	另外
18:29:10 ~ 18:29:11	另外我也補充一點
18:29:11 ~ 18:29:12	因為你
18:29:12 ~ 18:29:13	你題目是說
18:29:13 ~ 18:29:14	要做
18:29:14 ~ 18:29:15	湖跌攔
18:29:15 ~ 18:29:16	跟
18:29:16 ~ 18:29:17	郭俊
18:29:17 ~ 18:29:18	應該是
18:29:18 ~ 18:29:19	捏捏
18:29:19 ~ 18:29:20	那個是西山
18:29:20 ~ 18:29:21	到目前
18:29:21 ~ 18:29:22	我一直看到的
18:29:22 ~ 18:29:23	都是
18:29:23 ~ 18:29:24	郭俊而已
18:29:24 ~ 18:29:25	就是說你
18:29:25 ~ 18:29:26	從4月份到
18:29:26 ~ 18:29:27	現在兩個
18:29:27 ~ 18:29:28	那個都是
18:29:28 ~ 18:29:29	湖跌攔
18:29:29 ~ 18:29:30	你打算
18:29:30 ~ 18:29:31	怎麼做
18:29:31 ~ 18:29:32	然後
18:29:32 ~ 18:29:33	我會在哪裡做
18:29:33 ~ 18:29:34	稍微
18:29:34 ~ 18:29:35	說明一下
18:29:37 ~ 18:29:38	湖跌攔的方式
18:29:38 ~ 18:29:39	我會比較
18:29:39 ~ 18:29:40	目前我會
18:29:40 ~ 18:29:41	希望是
18:29:41 ~ 18:29:42	也是在植物工廠
18:29:42 ~ 18:29:43	可以做
18:29:43 ~ 18:29:44	不過這部分的話
18:29:44 ~ 18:29:45	可能
18:29:45 ~ 18:29:46	可能要先買
18:29:46 ~ 18:29:47	可能要先買一下
18:29:47 ~ 18:29:48	籃花
18:29:48 ~ 18:29:49	對不對
18:29:49 ~ 18:29:50	買一株
18:29:50 ~ 18:29:51	放到植物
18:29:51 ~ 18:29:52	放在溫室裡面
18:29:52 ~ 18:29:53	去做代配
18:29:53 ~ 18:29:54	對
18:29:54 ~ 18:29:55	不然的話
18:29:55 ~ 18:29:56	其實如果以
18:29:56 ~ 18:29:57	現在
18:29:57 ~ 18:29:58	湖跌攔
18:29:58 ~ 18:29:59	溫室的
18:29:59 ~ 18:30:00	一個代配環境
18:30:00 ~ 18:30:01	其實
18:30:01 ~ 18:30:02	會相對
18:30:02 ~ 18:30:03	比較複雜一點
18:30:03 ~ 18:30:04	不過我覺得
18:30:04 ~ 18:30:05	一樣
18:30:05 ~ 18:30:06	就是我會希望說
18:30:06 ~ 18:30:07	植物工廠內的
18:30:07 ~ 18:30:08	環控環境
18:30:08 ~ 18:30:09	先做完一次
18:30:09 ~ 18:30:09	
18:30:09 ~ 18:30:10	到溫室
18:30:10 ~ 18:30:11	直接當
18:30:11 ~ 18:30:12	植物工業的代配環境
18:30:12 ~ 18:30:13	然後再做第二次的
18:30:13 ~ 18:30:14	確認
18:30:14 ~ 18:30:15	對
18:30:15 ~ 18:30:15	
18:30:15 ~ 18:30:16	多好籃花
18:30:16 ~ 18:30:17	要趕快講
18:30:17 ~ 18:30:18	這個
18:30:18 ~ 18:30:19	要說
18:30:19 ~ 18:30:20	不是問題
18:30:20 ~ 18:30:21	剛剛
18:30:21 ~ 18:30:22	提過
18:30:22 ~ 18:30:23	這不是問題
18:30:23 ~ 18:30:24	因為
18:30:24 ~ 18:30:25	而且
18:30:25 ~ 18:30:26	這邊主要在培我們
18:30:26 ~ 18:30:28	還是以苗為主
18:30:28 ~ 18:30:29	因此
18:30:29 ~ 18:30:30	對
18:30:30 ~ 18:30:32	對小鐘大苗
18:30:32 ~ 18:30:33	這不會
18:30:33 ~ 18:30:34	有問題
18:30:34 ~ 18:30:35	但是你要
18:30:35 ~ 18:30:36	先做
18:30:36 ~ 18:30:37	這就是
18:30:37 ~ 18:30:38	進找規劃
18:30:38 ~ 18:30:39	好
18:30:39 ~ 18:30:40	另外一個
18:30:40 ~ 18:30:41	就是說
18:30:41 ~ 18:30:42	你的題目
18:30:42 ~ 18:30:43	其實
18:30:43 ~ 18:30:44	有
18:30:44 ~ 18:30:45	有涉及到
18:30:45 ~ 18:30:46	所謂的
18:30:46 ~ 18:30:47	物聯網架構
18:30:47 ~ 18:30:48	兩側的
18:30:48 ~ 18:30:49	感測的架構
18:30:49 ~ 18:30:50	感覺上
18:30:50 ~ 18:30:51	目前
18:30:51 ~ 18:30:52	你的
18:30:52 ~ 18:30:53	目前線階段的
18:30:53 ~ 18:30:54	初步
18:30:54 ~ 18:30:55	稱果好像
18:30:55 ~ 18:30:56	那個
18:30:56 ~ 18:30:57	物聯網的
18:30:57 ~ 18:30:58	架子好像
18:30:58 ~ 18:30:59	還沒有
18:30:59 ~ 18:31:00	沒有把他突顯出來
18:31:00 ~ 18:31:01	這樣
18:31:01 ~ 18:31:02	比如說
18:31:02 ~ 18:31:03	像剛方老師
18:31:03 ~ 18:31:04	講的
18:31:04 ~ 18:31:05	如果你
18:31:05 ~ 18:31:05	
18:31:05 ~ 18:31:06	忽略來
18:31:06 ~ 18:31:07	你要監察很多
18:31:07 ~ 18:31:08	那你
18:31:08 ~ 18:31:09	你的相關
18:31:09 ~ 18:31:11	你開關
18:31:11 ~ 18:31:12	這些設備
18:31:12 ~ 18:31:13	那是可以
18:31:13 ~ 18:31:14	可以突顯
18:31:14 ~ 18:31:15	你多同時
18:31:15 ~ 18:31:16	都增測
18:31:16 ~ 18:31:17	那可以突顯
18:31:17 ~ 18:31:18	你的
18:31:18 ~ 18:31:20	物聯網架構
18:31:20 ~ 18:31:21	的
18:31:21 ~ 18:31:22	架子
18:31:22 ~ 18:31:23	另外一個
18:31:23 ~ 18:31:24	就是你
18:31:24 ~ 18:31:25	將來你
18:31:25 ~ 18:31:26	測的這個
18:31:26 ~ 18:31:27	這個都建議
18:31:27 ~ 18:31:28	就是說
18:31:28 ~ 18:31:29	你對像是
18:31:29 ~ 18:31:30	忽略來
18:31:30 ~ 18:31:31	跟那個
18:31:31 ~ 18:31:32	WG
18:31:32 ~ 18:31:33	在這個
18:31:33 ~ 18:31:34	忽略
18:31:34 ~ 18:31:35	對象做物
18:31:35 ~ 18:31:36	的
18:31:36 ~ 18:31:37	實際的
18:31:37 ~ 18:31:38	貢獻
18:31:38 ~ 18:31:39	你可能要
18:31:39 ~ 18:31:40	要找一些
18:31:40 ~ 18:31:41	可以
18:31:41 ~ 18:31:42	探討的
18:31:42 ~ 18:31:43	議題
18:31:43 ~ 18:31:44	來突顯
18:31:44 ~ 18:31:45	所以
18:31:45 ~ 18:31:46	比如說
18:31:46 ~ 18:31:47	這些
18:31:47 ~ 18:31:48	業文
18:31:48 ~ 18:31:49	可能對他
18:31:49 ~ 18:31:50	將來的
18:31:50 ~ 18:31:51	整個
18:31:51 ~ 18:31:52	在一個
18:31:52 ~ 18:31:53	的過程裡面
18:31:53 ~ 18:31:54	的控制
18:31:54 ~ 18:31:55	可能設計到
18:31:55 ~ 18:31:56	寬控
18:31:56 ~ 18:31:57	會
18:31:57 ~ 18:31:58	會
18:31:58 ~ 18:31:59	會
18:31:59 ~ 18:32:00	回去
18:32:00 ~ 18:32:01	把環控之後
18:32:01 ~ 18:32:02	很多這些
18:32:02 ~ 18:32:03	可以考慮到的話
18:32:03 ~ 18:32:04	而且
18:32:04 ~ 18:32:05	做出來的話
18:32:05 ~ 18:32:06	那可能對你
18:32:06 ~ 18:32:07	整篇
18:32:07 ~ 18:32:08	博士論文
18:32:08 ~ 18:32:09	會很有架子
18:32:09 ~ 18:32:10	不大概
18:32:10 ~ 18:32:11	就是
18:32:11 ~ 18:32:12	這
18:32:12 ~ 18:32:14	這兩三點的建立
18:32:14 ~ 18:32:15	就是
18:32:15 ~ 18:32:16	因為
18:32:16 ~ 18:32:17	其實
18:32:17 ~ 18:32:18	我也希望
18:32:18 ~ 18:32:19	可以做到
18:32:19 ~ 18:32:20	後面這段
18:32:20 ~ 18:32:21	所以
18:32:21 ~ 18:32:22	前面這段
18:32:22 ~ 18:32:22	
18:32:22 ~ 18:32:23	基本上
18:32:23 ~ 18:32:24	就是
18:32:24 ~ 18:32:25	先讓它
18:32:25 ~ 18:32:26	直去運作
18:32:26 ~ 18:32:27	穩定運作
18:32:27 ~ 18:32:28	可以
18:32:28 ~ 18:32:29	收集資料
18:32:29 ~ 18:32:30	後面
18:32:30 ~ 18:32:31	去做紀錄
18:32:31 ~ 18:32:32	可能現有
18:32:32 ~ 18:32:33	方法的一個
18:32:33 ~ 18:32:34	比對這樣
18:32:34 ~ 18:32:35	比較這樣
18:32:35 ~ 18:32:36	對
18:32:36 ~ 18:32:37	這個
18:32:37 ~ 18:32:38	可能會
18:32:38 ~ 18:32:39	設計的
18:32:39 ~ 18:32:40	比較嚴謹的
18:32:40 ~ 18:32:41	一些實驗設計
18:32:41 ~ 18:32:42	剛剛
18:32:42 ~ 18:32:43	加老師
18:32:43 ~ 18:32:44	要求的
18:32:44 ~ 18:32:45	其實
18:32:45 ~ 18:32:46	應該要優先做
18:32:46 ~ 18:32:47	你現在
18:32:47 ~ 18:32:48	長時間在
18:32:48 ~ 18:32:49	糧測
18:32:49 ~ 18:32:50	後如果
18:32:50 ~ 18:32:51	後來
18:32:51 ~ 18:32:52	證實說
18:32:52 ~ 18:32:53	你這個
18:32:53 ~ 18:32:54	糧的東西
18:32:54 ~ 18:32:55	都不準
18:32:55 ~ 18:32:55	
18:32:55 ~ 18:32:56	不是
18:32:56 ~ 18:32:57	白糧了嗎
18:32:57 ~ 18:32:58	對不對
18:32:58 ~ 18:32:59	而且你這幾個月下來
18:32:59 ~ 18:33:00	你那個精準度
18:33:00 ~ 18:33:01	你沒有去 double
18:33:01 ~ 18:33:02	卻
18:33:02 ~ 18:33:03	這整個
18:33:03 ~ 18:33:04	三十多個都不行
18:33:04 ~ 18:33:05	你就
18:33:05 ~ 18:33:07	要換設備
18:33:07 ~ 18:33:08	所以
18:33:08 ~ 18:33:09	你這個
18:33:09 ~ 18:33:10	要優先
18:33:10 ~ 18:33:11	去 check
18:33:11 ~ 18:33:12	ok
18:33:12 ~ 18:33:13	好
18:33:13 ~ 18:33:14	那先
18:33:14 ~ 18:33:15	去 check
18:33:15 ~ 18:33:16	好
18:33:16 ~ 18:33:18	那其他的
18:33:18 ~ 18:33:19	就
18:33:19 ~ 18:33:20	我
18:33:20 ~ 18:33:22	我直接就挑你的
18:33:22 ~ 18:33:23	挫制
18:33:23 ~ 18:33:24	好
18:33:24 ~ 18:33:25	不好意思
18:33:25 ~ 18:33:26	你那個
18:33:26 ~ 18:33:27	你的業片
18:33:27 ~ 18:33:29	業片跟空氣之間的
18:33:29 ~ 18:33:31	增氣壓差
18:33:31 ~ 18:33:32	我們一般是
18:33:32 ~ 18:33:33	講微perperputual的
18:33:33 ~ 18:33:33	
18:33:33 ~ 18:33:35	 difference
18:33:35 ~ 18:33:36	對
18:33:36 ~ 18:33:37	你微perputual
18:33:37 ~ 18:33:38	 deficit
18:33:38 ~ 18:33:39	ok
18:33:39 ~ 18:33:40	vpd
18:33:40 ~ 18:33:41	微perputual
18:33:41 ~ 18:33:42	 deficit
18:33:42 ~ 18:33:43	講的是
18:33:43 ~ 18:33:44	空氣的
18:33:44 ~ 18:33:45	跟
18:33:45 ~ 18:33:46	相同溫度的
18:33:46 ~ 18:33:47	保合
18:33:47 ~ 18:33:48	增氣壓的
18:33:48 ~ 18:33:49	壓差
18:33:49 ~ 18:33:50	所以
18:33:50 ~ 18:33:51	vpd
18:33:51 ~ 18:33:52	vpd
18:33:52 ~ 18:33:53	有兩個意思
18:33:53 ~ 18:33:54	一個是vp
18:33:54 ~ 18:33:55	 deficits
18:33:55 ~ 18:33:56	針對空氣
18:33:56 ~ 18:33:57	那你是針對
18:33:57 ~ 18:33:58	業片跟空氣
18:33:58 ~ 18:34:01	那個叫vpd difference
18:34:01 ~ 18:34:02	對
18:34:02 ~ 18:34:03	說寫
18:34:03 ~ 18:34:04	剪解都一樣
18:34:04 ~ 18:34:05	對
18:34:05 ~ 18:34:06	但是
18:34:06 ~ 18:34:07	vpd difference
18:34:07 ~ 18:34:08	ok
18:34:08 ~ 18:34:09	你現在在講的是
18:34:09 ~ 18:34:10	業片
18:34:10 ~ 18:34:11	所以這個是
18:34:11 ~ 18:34:13	那另外你那個
18:34:13 ~ 18:34:14	參考文獻
18:34:14 ~ 18:34:15	你不需要
18:34:15 ~ 18:34:16	把人家的全民
18:34:16 ~ 18:34:17	都列出來
18:34:17 ~ 18:34:18	你列一個
18:34:18 ~ 18:34:20	拉斯納密就好了
18:34:20 ~ 18:34:21	那像
18:34:21 ~ 18:34:22	像現在
18:34:22 ~ 18:34:24	這一張圖
18:34:24 ~ 18:34:25	那個就
18:34:25 ~ 18:34:26	就
18:34:26 ~ 18:34:27	嘎斯亞
18:34:27 ~ 18:34:28	嘎斯亞
18:34:28 ~ 18:34:29	後面那個
18:34:29 ~ 18:34:30	是他的拉斯納密
18:34:30 ~ 18:34:31	ok
18:34:31 ~ 18:34:32	你前面那個
18:34:32 ~ 18:34:33	FrustonM
18:34:33 ~ 18:34:35	不需要寫
18:34:35 ~ 18:34:37	就好像你
18:34:37 ~ 18:34:38	其他幾個人
18:34:38 ~ 18:34:39	其他幾個人
18:34:39 ~ 18:34:40	也是
18:34:40 ~ 18:34:41	中午
18:34:41 ~ 18:34:42	這個就是拉斯納密
18:34:42 ~ 18:34:43	好
18:34:43 ~ 18:34:44	好
18:34:44 ~ 18:34:45	好
18:34:45 ~ 18:34:46	ok
18:34:46 ~ 18:34:47	這樣
18:34:47 ~ 18:34:49	就搞清楚一點
18:34:49 ~ 18:34:51	然後另外你到你的
18:34:51 ~ 18:34:53	前面幾業
18:34:53 ~ 18:34:54	前
18:34:54 ~ 18:34:57	再來
18:34:57 ~ 18:34:58	等一下
18:34:58 ~ 18:35:00	上業
18:35:00 ~ 18:35:01	不對
18:35:01 ~ 18:35:02	上
18:35:02 ~ 18:35:03	上業
18:35:03 ~ 18:35:04	這邊
18:35:04 ~ 18:35:06	那上業
18:35:06 ~ 18:35:07	那剛應該是
18:35:07 ~ 18:35:09	第八業吧
18:35:09 ~ 18:35:10	第八業
18:35:10 ~ 18:35:11	就是你
18:35:11 ~ 18:35:12	對
18:35:12 ~ 18:35:13	對
18:35:13 ~ 18:35:13	
18:35:13 ~ 18:35:14	101年
18:35:14 ~ 18:35:15	你會計畫嗎
18:35:15 ~ 18:35:16	還是
