20:04:00 ~ 20:04:05	大家請問大家有看到我的簡報的話面嗎
20:22:18 ~ 20:22:21	那我可以去直接去做一個量測
20:22:21 ~ 20:22:22	至於做出最差距
20:22:22 ~ 20:22:23	他在這個時候
20:22:23 ~ 20:22:25	可能有可能會變成說
20:22:25 ~ 20:22:27	畫面上有可能會這樣子
20:22:27 ~ 20:22:29	有一部分的
20:22:29 ~ 20:22:32	或者也部分的
20:22:32 ~ 20:22:35	也片會在畫面外面
20:22:35 ~ 20:22:38	那用同樣的參數去做一個
20:22:38 ~ 20:22:40	輪廓的萃取已經溫度表示
20:22:40 ~ 20:22:42	那目前看起來相破率
20:22:42 ~ 20:22:44	這個還可以看到的
20:22:44 ~ 20:22:46	那但是有些就可能是
20:22:46 ~ 20:22:47	對焦的問題以及
20:22:47 ~ 20:22:49	因為相破率本身是長得相當
20:22:49 ~ 20:22:49	遙密級的
20:22:49 ~ 20:22:52	所以他一些比較深的一些
20:22:52 ~ 20:22:53	比較擬成這些意變
20:22:53 ~ 20:22:56	他可能就會沒有變成出來
20:22:56 ~ 20:22:56	那之後部分
20:22:56 ~ 20:23:00	我後續會再去做一個調整
20:23:00 ~ 20:23:03	那接下來以上是我對於
20:23:03 ~ 20:23:04	目前也就放上已經
20:23:04 ~ 20:23:07	目前先階段的一個實驗的結果
20:23:07 ~ 20:23:08	那對於秋克的部分
20:23:08 ~ 20:23:10	這是我目前秋克的成績
20:23:10 ~ 20:23:13	那按照規定的話
20:23:13 ~ 20:23:14	我必須要達到數學份
20:23:14 ~ 20:23:16	以上就會升級這個考考式
20:23:16 ~ 20:23:17	那目前我已經修到了
20:23:17 ~ 20:23:19	還所上的必修程
20:23:19 ~ 20:23:20	有分我大概時間
20:23:20 ~ 20:23:22	結果到三十八個學分
20:23:22 ~ 20:23:24	預計紅色的字體
20:23:24 ~ 20:23:26	是我彼此的考字的科目
20:23:26 ~ 20:23:28	對
20:23:28 ~ 20:23:30	那目前的時間
20:23:30 ~ 20:23:32	我要在六月十五號前
20:23:32 ~ 20:23:35	提出這個考的申請
20:23:35 ~ 20:23:37	那在
20:23:37 ~ 20:23:38	我是希望因為這考申請
20:23:38 ~ 20:23:40	大概這個考的時間
20:23:40 ~ 20:23:41	是要三個月內要完成
20:23:41 ~ 20:23:43	那我是大概先抓
20:23:43 ~ 20:23:44	大概兩個月的八個地是考完
20:23:44 ~ 20:23:46	然後後面
20:23:46 ~ 20:23:46	九月十五號前
20:23:46 ~ 20:23:48	完成這個考的考式
20:23:48 ~ 20:23:50	然後再請各位委員
20:23:50 ~ 20:23:53	給予一些指教建議
20:23:53 ~ 20:23:56	一些意見
20:23:56 ~ 20:23:59	那這部分就是討論的部分
20:23:59 ~ 20:24:01	不知道委員們
20:24:01 ~ 20:24:04	老師們有對於有什麼建議這樣
20:24:12 ~ 20:24:12	那大概有天啊
20:24:12 ~ 20:24:14	我聲音嗎
20:24:14 ~ 20:24:16	有聽到
20:24:17 ~ 20:24:21	那個老師們要不要提供一些建議
20:24:21 ~ 20:24:23	我們系上的老師先吧
20:24:23 ~ 20:24:26	連其你先給他一些建議
20:24:26 ~ 20:24:27	我是想說
20:24:27 ~ 20:24:29	那太父跟陳老師先
20:24:29 ~ 20:24:30	我跟趙恩
20:24:30 ~ 20:24:32	基本上之前有聊過
20:24:32 ~ 20:24:33	我們再一路去
20:24:33 ~ 20:24:36	那個三星的時候聊過
20:24:36 ~ 20:24:39	先聽看蔡富
20:24:39 ~ 20:24:40	陳老師的電影
20:24:40 ~ 20:24:41	我在服裝就好
20:24:41 ~ 20:24:42	可以了
20:24:42 ~ 20:24:43	對
20:24:43 ~ 20:24:47	系上老師的建議隨時都可以給了
20:24:47 ~ 20:24:50	所以就
20:24:50 ~ 20:24:54	學長蔡富就交給你吧
20:24:54 ~ 20:24:56	好
20:24:56 ~ 20:25:00	我想劉昆寫
20:25:00 ~ 20:25:04	本身的背景就相當不錯
20:25:04 ~ 20:25:09	而且已經有很多的專利跟作品
20:25:10 ~ 20:25:14	我想實力不錯
20:25:14 ~ 20:25:19	那我們現在剛剛聽他的簡報
20:25:19 ~ 20:25:22	快速這樣過去的話
20:25:22 ~ 20:25:24	我剛好有聽到
20:25:24 ~ 20:25:28	那個我看到你那個有秀
20:25:28 ~ 20:25:31	那個龍偉惠的寄話的成果
20:25:31 ~ 20:25:33	的那一部分
20:25:33 ~ 20:25:37	我不知道這是跟中老師一起的
20:25:37 ~ 20:25:39	或者是其他那邊做的
20:25:39 ~ 20:25:42	可是我看到那個
20:25:42 ~ 20:25:45	是年度好像不對吧
20:25:45 ~ 20:25:48	那個我怎麼會一百年要的
20:25:48 ~ 20:25:49	我已經叫他改過了
20:25:49 ~ 20:25:52	結果他沒改到
20:25:52 ~ 20:25:54	我剛剛有111
20:25:54 ~ 20:25:55	對
20:25:55 ~ 20:25:57	剛剛秀是101
20:25:57 ~ 20:25:58	對啊
20:25:58 ~ 20:26:01	我想說那我絕對不可能是101
20:26:01 ~ 20:26:04	他年度就差不多差一點
20:26:04 ~ 20:26:06	現在這一張
20:26:06 ~ 20:26:08	剛剛蔡富右邊這一張
20:26:08 ~ 20:26:10	是今年剛剛最新的
20:26:10 ~ 20:26:12	他們現在應該做的
20:26:12 ~ 20:26:14	所以這個時應該是122年
20:26:14 ~ 20:26:17	都少元都差一年了
20:26:17 ~ 20:26:20	我剛好看到了
20:26:20 ~ 20:26:23	其他的可能還沒有我沒有那麼快
20:26:23 ~ 20:26:25	剛好看到那個
20:26:25 ~ 20:26:27	所以這個提醒一下
20:26:27 ~ 20:26:29	然後
20:26:29 ~ 20:26:32	我想我剛剛聽完了結果
20:26:32 ~ 20:26:37	就是說他想要做很多的事情
20:26:37 ~ 20:26:40	你回到你那個題目啊
20:26:40 ~ 20:26:42	回到你的題目
20:26:42 ~ 20:26:46	你用IOT設備偵測光譜
20:26:46 ~ 20:26:48	影響氣孔導度
20:26:48 ~ 20:26:51	及水溫跟修徒交換
20:26:51 ~ 20:26:54	以環境的交互作用
20:26:54 ~ 20:26:57	我想這個題目是真的
20:26:57 ~ 20:26:59	滿龐雜的
20:27:00 ~ 20:27:02	然後你的作物的話
20:27:02 ~ 20:27:04	你又選一個Hudella and Cam
20:27:04 ~ 20:27:07	然後又一個Worge西山的
20:27:07 ~ 20:27:11	基本上我覺得工作量是滿多的
20:27:11 ~ 20:27:14	那當然你做得了是沒有問題
20:27:14 ~ 20:27:18	那可能要稍微去解釋一下說
20:27:18 ~ 20:27:22	我們為什麼去挑這兩個作物
20:27:22 ~ 20:27:26	他的代表性你是要去處理什麼樣的事
20:27:26 ~ 20:27:30	來呈現什麼樣的特殊的地方
20:27:30 ~ 20:27:33	我想這個一定有你的原因
20:27:33 ~ 20:27:36	然後再來我剛剛聽完
20:27:36 ~ 20:27:38	我再想的就是說
20:27:38 ~ 20:27:42	你這個論文題目的主要訴求
20:27:42 ~ 20:27:47	到底是偏在設備端呢
20:27:47 ~ 20:27:51	還是偏在照顧他整個的
20:27:51 ~ 20:27:54	成長的效率的提升呢
20:27:54 ~ 20:27:55	我不清楚了
20:27:55 ~ 20:27:57	現在你可能還沒有搞清楚
20:27:57 ~ 20:27:59	你想一定可能也已經想說
20:27:59 ~ 20:28:02	都做了到最後才來
20:28:02 ~ 20:28:05	才來離清的時候再來做論述
20:28:05 ~ 20:28:08	不過我想的就是可能你在一開始的時候
20:28:08 ~ 20:28:10	要有一些設想
20:28:10 ~ 20:28:15	假如說你今天是走重在設備的開花
20:28:15 ~ 20:28:18	那你有簽設這麼多
20:28:18 ~ 20:28:21	可能你到最後你可能會有
20:28:21 ~ 20:28:24	不少東西可以出來
20:28:24 ~ 20:28:27	這個你就搞不好一個小小的
20:28:27 ~ 20:28:30	你就可以有一個題目
20:28:30 ~ 20:28:31	那我不清楚了
20:28:31 ~ 20:28:32	因為你這個資格卡
20:28:32 ~ 20:28:35	你可能到最後的你可以去組裝嗎
20:28:35 ~ 20:28:37	我這個論文題目
20:28:37 ~ 20:28:39	搞不好你下來的話
20:28:39 ~ 20:28:41	可以投個三片四片
20:28:41 ~ 20:28:44	SCI的文章都有可能
20:28:44 ~ 20:28:45	到時候就是說
20:28:45 ~ 20:28:48	我要請你去做離清的
20:28:48 ~ 20:28:50	你的訴求到底是在哪邊
20:28:50 ~ 20:28:53	我們現在是大海老爭
20:28:53 ~ 20:28:55	全部都做完了
20:28:55 ~ 20:28:56	我們再來勞
20:28:56 ~ 20:28:58	還是說你錄了一些文章
20:28:58 ~ 20:29:01	然後你有一些基本事件
20:29:01 ~ 20:29:03	做完了你基本上
20:29:03 ~ 20:29:06	你已經離清楚說
20:29:06 ~ 20:29:09	我是要針對這種
20:29:09 ~ 20:29:11	你剛剛也講了說
20:29:11 ~ 20:29:13	有那個手持式的一個什麼樣的設備
20:29:13 ~ 20:29:15	類似這些的開花
20:29:15 ~ 20:29:18	還是你要用很低的成本
20:29:18 ~ 20:29:20	透過互聯網
20:29:20 ~ 20:29:22	開花一個打敗Lyco
20:29:22 ~ 20:29:24	這樣的一個系統
20:29:24 ~ 20:29:28	這也是一個很大的貢獻
20:29:28 ~ 20:29:30	但是就是說
20:29:30 ~ 20:29:32	你要有一些設定
20:29:32 ~ 20:29:35	那當然就我們做完
20:29:35 ~ 20:29:38	就有人來講一定都很貪心
20:29:38 ~ 20:29:40	一開始就想什麼都要做
20:29:40 ~ 20:29:43	可是真的做下去的時候
20:29:43 ~ 20:29:45	會蠻累的
20:29:45 ~ 20:29:48	當然有說令哪一些到最後一位三調
20:29:48 ~ 20:29:51	哪一些是繼續往後走
20:29:51 ~ 20:29:54	這個方老師一定會給你
20:29:54 ~ 20:29:55	很好的方向
20:29:55 ~ 20:29:57	這個結論沒有問題
20:29:57 ~ 20:29:59	所以我要提醒的就是說
20:29:59 ~ 20:30:03	你這個是走設備開花
20:30:03 ~ 20:30:05	還是要走
20:30:05 ~ 20:30:07	我只是把它當工具
20:30:07 ~ 20:30:09	你用IOT當工具
20:30:09 ~ 20:30:13	我來做做效率提升
20:30:13 ~ 20:30:15	然後我發現的是什麼樣的現象
20:30:15 ~ 20:30:17	它是可以提升效率的
20:30:17 ~ 20:30:19	我只是把IOT當工具
20:30:19 ~ 20:30:22	很有試驗設備而已
20:30:22 ~ 20:30:25	這樣的訴求又完全不一樣
20:30:25 ~ 20:30:28	那剛剛講的就是假如說
20:30:28 ~ 20:30:30	去做設備的時候
20:30:30 ~ 20:30:32	那個尺度
20:30:32 ~ 20:30:34	就是你觀察的尺度
20:30:34 ~ 20:30:36	就要再去考慮
20:30:36 ~ 20:30:40	你是怎麼樣的一個觀測萬年
20:30:40 ~ 20:30:41	因為你剛剛也提到說
20:30:41 ~ 20:30:44	用到無人機
20:30:44 ~ 20:30:46	那個尺度就很大
20:30:46 ~ 20:30:47	那是天間
20:30:47 ~ 20:30:50	你現在用那個業務
20:30:50 ~ 20:30:52	只是針對的業片
20:30:52 ~ 20:30:54	那是只是對點
20:30:54 ~ 20:30:56	那個是
20:30:56 ~ 20:30:58	從小到大
20:30:58 ~ 20:31:00	那是很大的差異
20:31:00 ~ 20:31:02	那個規格就是尺度
20:31:02 ~ 20:31:04	會變成它
20:31:04 ~ 20:31:06	你再從開花的時候
20:31:06 ~ 20:31:08	到底要手定在哪裡
20:31:08 ~ 20:31:10	我就這樣
20:31:10 ~ 20:31:12	剛剛這樣很快速聽下來
20:31:12 ~ 20:31:16	這些給你再去向清楚
20:31:16 ~ 20:31:18	然後你未來在一些
20:31:18 ~ 20:31:19	那種方向
20:31:19 ~ 20:31:21	我可能後續你
20:31:21 ~ 20:31:23	根據你獨得東西
20:31:23 ~ 20:31:24	或者是你的經驗
20:31:24 ~ 20:31:26	你可以比較聚焦
20:31:26 ~ 20:31:28	不然你這個題目很大
20:31:28 ~ 20:31:29	真的很大
20:31:29 ~ 20:31:32	你看你處理那麼多議題
20:31:32 ~ 20:31:33	然後再一個題目裡頭
20:31:33 ~ 20:31:34	我不知道了
20:31:34 ~ 20:31:36	換老師要是很下心
20:31:36 ~ 20:31:37	叫你每一樣
20:31:37 ~ 20:31:38	都要做出來了
20:31:38 ~ 20:31:41	我看你不想要幾點才能畢業
20:31:41 ~ 20:31:43	雖然他馬上要退休了
20:31:43 ~ 20:31:46	所以這個可能
20:31:46 ~ 20:31:48	自己要好好盤算一下
20:31:48 ~ 20:31:50	這個是我給你的建議
20:31:54 ~ 20:31:55	老師
20:31:55 ~ 20:31:56	那個
20:31:56 ~ 20:31:58	趙元你要不要等
20:31:58 ~ 20:32:00	所有的老師的意見都提完
20:32:00 ~ 20:32:02	你再回答
20:32:02 ~ 20:32:03	好
20:32:03 ~ 20:32:05	我們同問同嘎
20:32:05 ~ 20:32:06	OK
20:32:06 ~ 20:32:07	好
20:32:12 ~ 20:32:13	好
20:32:13 ~ 20:32:16	陳研究員就麻煩你
20:32:16 ~ 20:32:17	好
20:32:17 ~ 20:32:19	我延續
20:32:19 ~ 20:32:20	剛剛
20:32:20 ~ 20:32:21	我首先說
20:32:21 ~ 20:32:23	我覺得題目東西很多
20:32:23 ~ 20:32:24	但是我覺得
20:32:24 ~ 20:32:25	少元對他來說是
20:32:25 ~ 20:32:26	基礎Kate
20:32:26 ~ 20:32:27	沒問題
20:32:27 ~ 20:32:30	但是
20:32:30 ~ 20:32:32	但是我覺得剛剛提到的
20:32:32 ~ 20:32:33	其中的
20:32:33 ~ 20:32:35	我感覺題目很大
20:32:35 ~ 20:32:36	然後
20:32:36 ~ 20:32:37	其實
20:32:37 ~ 20:32:39	聽得到你要做什麼
20:32:39 ~ 20:32:40	可是聽不出你的
20:32:40 ~ 20:32:42	最後要解決的問題是什麼
20:32:42 ~ 20:32:44	你說你自己
20:32:44 ~ 20:32:46	上頭講的這個研究主題
20:32:46 ~ 20:32:47	所以我這個門外
20:32:47 ~ 20:32:48	害難說的話
20:32:48 ~ 20:32:49	就不叫這個問題
20:32:49 ~ 20:32:50	為什麼這麼重要
20:32:50 ~ 20:32:52	所以你可能要再多講一下
20:32:52 ~ 20:32:54	就是你為什麼
20:32:54 ~ 20:32:56	為什麼你要挑這個題目
20:32:56 ~ 20:32:58	這個題目一定是有一個重要性
20:32:58 ~ 20:32:59	你才會慢慢
20:32:59 ~ 20:33:00	慢慢內容上
20:33:00 ~ 20:33:02	到你現在去挑的這個工作
20:33:02 ~ 20:33:05	可是你整個報告過程當中
20:33:05 ~ 20:33:06	你都在強調
20:33:06 ~ 20:33:08	你要做什麼事情
20:33:08 ~ 20:33:09	但是那個
20:33:09 ~ 20:33:10	Big Big學就不見了
20:33:10 ~ 20:33:12	那這個是
20:33:12 ~ 20:33:13	可能就是隨著你
20:33:13 ~ 20:33:15	若文在發展當中的時候
20:33:15 ~ 20:33:16	你必須要
20:33:16 ~ 20:33:18	常常回過頭來
20:33:18 ~ 20:33:20	要去把自己的故事講的
20:33:20 ~ 20:33:21	回答一點
20:33:21 ~ 20:33:23	一步是要記得要拿出來講
20:33:23 ~ 20:33:25	然後
20:33:25 ~ 20:33:26	因為你朋友
20:33:26 ~ 20:33:27	有一些我
20:33:27 ~ 20:33:28	我真的是門外害
20:33:28 ~ 20:33:30	所以可能比較看技術文面
20:33:30 ~ 20:33:32	那這個用
20:33:32 ~ 20:33:34	Iog設備來做這些事情
20:33:34 ~ 20:33:35	其實這是
20:33:35 ~ 20:33:37	現階段大家都很流行在做這些
20:33:37 ~ 20:33:39	可是在學術界的話
20:33:39 ~ 20:33:40	你東西拿出去
20:33:40 ~ 20:33:42	一定會被挑戰
20:33:42 ~ 20:33:43	整缺度
20:33:43 ~ 20:33:45	所以這個你還是要做一下
20:33:45 ~ 20:33:47	特別是你如果是後要去
20:33:47 ~ 20:33:49	跟這些專業的設備去
20:33:49 ~ 20:33:51	比較的時候你可能要在
20:33:51 ~ 20:33:53	恐些控制下的環境之下
20:33:53 ~ 20:33:55	要去做一下比賽
20:33:55 ~ 20:33:58	也包含在不同的狀況之下
20:33:58 ~ 20:34:01	不同的環境條件之下
20:34:01 ~ 20:34:02	或不同的距離
20:34:02 ~ 20:34:03	那它的
20:34:03 ~ 20:34:05	穩定度或是其他的
20:34:05 ~ 20:34:06	Performance是如何
20:34:06 ~ 20:34:07	因為你現在其實
20:34:07 ~ 20:34:09	都是在試內固定的一個角度
20:34:09 ~ 20:34:11	固定的狀況之下去做的
20:34:11 ~ 20:34:13	所以你可以去稍微
20:34:13 ~ 20:34:14	跟改一下設定
20:34:14 ~ 20:34:15	然後去
20:34:15 ~ 20:34:17	顧一下你這個Iog設備的
20:34:17 ~ 20:34:18	Performance是如何
20:34:18 ~ 20:34:19	但也許可以
20:34:19 ~ 20:34:21	做一個Paker
20:34:21 ~ 20:34:22	但是
20:34:22 ~ 20:34:23	也會讓我們對你的設備
20:34:23 ~ 20:34:24	會更有信心
20:34:25 ~ 20:34:28	然後那個定位調整的那個部分
20:34:28 ~ 20:34:29	然後覺得蠻有意思的
20:34:29 ~ 20:34:31	你去設計你的LED
20:34:31 ~ 20:34:33	一個發熱源然後來做
20:34:33 ~ 20:34:35	但是
20:34:35 ~ 20:34:37	我不知道別人是
20:34:37 ~ 20:34:39	第一個是別人是怎麼做的
20:34:39 ~ 20:34:40	可能
20:34:40 ~ 20:34:41	如果假設別人是怎麼做的話
20:34:41 ~ 20:34:42	那這就
20:34:42 ~ 20:34:44	就不是很新的東西了
20:34:44 ~ 20:34:45	如果別人不是這樣做的話
20:34:45 ~ 20:34:47	那別人是怎麼做的
20:34:47 ~ 20:34:48	那
20:34:48 ~ 20:34:49	我想法是
20:34:49 ~ 20:34:50	如果我們要做這件事情
20:34:50 ~ 20:34:52	有沒有跟簡單的方法
20:34:52 ~ 20:34:54	因為你還是需要去用
20:34:54 ~ 20:34:56	以及還需要那些線線
20:34:56 ~ 20:34:57	有的沒有的
20:34:57 ~ 20:34:59	因為辦法是
20:34:59 ~ 20:35:01	更Tasic的方式
20:35:01 ~ 20:35:04	就是說你在上面去放一些
20:35:04 ~ 20:35:05	黑點好像QR code
20:35:05 ~ 20:35:06	為什麼
20:35:06 ~ 20:35:08	因為它黑色會吸熱
20:35:08 ~ 20:35:10	所以你去制造這個色點之後
20:35:10 ~ 20:35:11	你就可以去
20:35:11 ~ 20:35:13	補助你定位
20:35:13 ~ 20:35:14	我不知道這個
20:35:14 ~ 20:35:15	我覺得你可以再想一想
20:35:15 ~ 20:35:16	因為我
20:35:16 ~ 20:35:17	我只是
20:35:17 ~ 20:35:18	剛緊張到亂想
20:35:18 ~ 20:35:19	我只是
20:35:19 ~ 20:35:20	但是我覺得說
20:35:20 ~ 20:35:22	如果假設有
20:35:22 ~ 20:35:23	StabR別人是怎麼做的
20:35:23 ~ 20:35:24	那你可能需要
20:35:24 ~ 20:35:25	成熟一下
20:35:25 ~ 20:35:26	比較一下
20:35:26 ~ 20:35:28	然後
20:35:28 ~ 20:35:29	最後一個
20:35:29 ~ 20:35:30	就是
20:35:30 ~ 20:35:31	我看到你
20:35:31 ~ 20:35:32	用的東西
20:35:32 ~ 20:35:33	那些設備
20:35:33 ~ 20:35:34	都蠻熟悉的
20:35:34 ~ 20:35:35	但是我要提醒你
20:35:35 ~ 20:35:36	假設你
20:35:36 ~ 20:35:37	這個東西將來
20:35:37 ~ 20:35:38	可能會發揚光
20:35:38 ~ 20:35:39	搭位高處備使用
20:35:39 ~ 20:35:41	所以你裡頭用到了
20:35:41 ~ 20:35:44	非常多紅色供應鏈
20:35:44 ~ 20:35:46	那個
20:35:46 ~ 20:35:47	Wheel的
20:35:47 ~ 20:35:48	Termino
20:35:48 ~ 20:35:49	它是
20:35:49 ~ 20:35:50	最暗的
20:35:50 ~ 20:35:51	它有通訊供應鏈
20:35:51 ~ 20:35:52	UST3的
20:35:52 ~ 20:35:53	Kennemar
20:35:53 ~ 20:35:54	雖然它是目前
20:35:54 ~ 20:35:55	新加坡最好的
20:35:55 ~ 20:35:56	但是它一樣
20:35:56 ~ 20:35:57	有通訊供應鏈
20:35:57 ~ 20:35:59	所以你這些東西將來
20:35:59 ~ 20:36:01	假設你做成熟的話
20:36:01 ~ 20:36:02	你這些東西
20:36:02 ~ 20:36:04	是不能去接這幅案子的
20:36:04 ~ 20:36:05	所以
20:36:05 ~ 20:36:06	你要不要一開始
20:36:06 ~ 20:36:07	就先有所準備
20:36:07 ~ 20:36:08	先找其他的
20:36:08 ~ 20:36:09	T-Type方案
20:36:09 ~ 20:36:10	雖然到時候要重來
20:36:10 ~ 20:36:11	又會很辛苦
20:36:11 ~ 20:36:13	這就是一點建議
20:36:13 ~ 20:36:15	謝謝
20:36:15 ~ 20:36:16	這個
20:36:16 ~ 20:36:18	想得很遠
20:36:19 ~ 20:36:20	這個
20:36:20 ~ 20:36:21	將來推廣
20:36:21 ~ 20:36:22	接政府的案子
20:36:22 ~ 20:36:23	譬如去
20:36:23 ~ 20:36:24	農事所幫忙
20:36:24 ~ 20:36:25	設
20:36:25 ~ 20:36:27	設這樣的系統
20:36:27 ~ 20:36:28	然後
20:36:28 ~ 20:36:30	然後被攻擊
20:36:30 ~ 20:36:32	說你使用對岸的東西
20:36:32 ~ 20:36:33	所以
20:36:33 ~ 20:36:34	有些機密
20:36:34 ~ 20:36:35	農事所
20:36:35 ~ 20:36:36	哪有什麼機密
20:36:36 ~ 20:36:37	你拍植物
20:36:37 ~ 20:36:39	還有什麼機密
20:36:40 ~ 20:36:41	不過
20:36:41 ~ 20:36:42	這個方老師
20:36:42 ~ 20:36:43	這個是
20:36:43 ~ 20:36:44	現在政府的
20:36:44 ~ 20:36:45	政策
20:36:45 ~ 20:36:46	就是
20:36:46 ~ 20:36:47	公家的錢買的設備
20:36:47 ~ 20:36:48	也要是
20:36:48 ~ 20:36:49	自從訓練都不可以
20:36:49 ~ 20:36:50	是對岸的經典
20:36:50 ~ 20:36:51	對
20:36:51 ~ 20:36:52	對
20:36:52 ~ 20:36:53	理解
20:36:53 ~ 20:36:54	這點
20:36:54 ~ 20:36:55	少元
20:36:55 ~ 20:36:56	跟我都
20:36:56 ~ 20:36:57	都沒注意到
20:36:57 ~ 20:36:58	我們
20:36:58 ~ 20:36:59	這個
20:36:59 ~ 20:37:00	好用
20:37:00 ~ 20:37:01	比較重要
20:37:01 ~ 20:37:02	這個其實
20:37:02 ~ 20:37:03	我也去管這些
20:37:03 ~ 20:37:04	我知道
20:37:04 ~ 20:37:05	因為我們在教務題
20:37:05 ~ 20:37:06	基本上
20:37:06 ~ 20:37:07	自然處理
20:37:07 ~ 20:37:08	比較多一點點
20:37:08 ~ 20:37:09	我
20:37:09 ~ 20:37:11	還沒答案處理這一款
20:37:11 ~ 20:37:12	因為其實
20:37:12 ~ 20:37:12	
20:37:12 ~ 20:37:13	IOT能串在一起
20:37:13 ~ 20:37:14	已經
20:37:14 ~ 20:37:15	還蠻不容易的
20:37:15 ~ 20:37:16	所以
20:37:16 ~ 20:37:17	跟財富
20:37:17 ~ 20:37:18	報告一下
20:37:18 ~ 20:37:19	其實我們先解決
20:37:19 ~ 20:37:20	技術問題
20:37:20 ~ 20:37:21	未來
20:37:21 ~ 20:37:22	我覺得未來
20:37:22 ~ 20:37:23	IOT
20:37:23 ~ 20:37:24	IOT的自然
20:37:24 ~ 20:37:25	那一塊
20:37:25 ~ 20:37:26	真的
20:37:26 ~ 20:37:27	等一下像陳老師
20:37:27 ~ 20:37:28	這種專家一起幫忙
20:37:28 ~ 20:37:29	當然現在
20:37:29 ~ 20:37:30	我們彈這樣的
20:37:30 ~ 20:37:31	自攻機的
20:37:31 ~ 20:37:32	零技主任帶
20:37:32 ~ 20:37:33	他未來
20:37:33 ~ 20:37:34	他們也都清楚這件事情
20:37:34 ~ 20:37:35	但
20:37:35 ~ 20:37:36	我想技術發展的時候
20:37:36 ~ 20:37:37	我們
20:37:37 ~ 20:37:38	我想
20:37:38 ~ 20:37:39	大概
20:37:39 ~ 20:37:40	都會先行
20:37:40 ~ 20:37:41	我做一點
20:37:41 ~ 20:37:42	補充
20:37:42 ~ 20:37:43	所以方老師
20:37:43 ~ 20:37:44	那個陳老師
20:37:44 ~ 20:37:45	你取代
20:37:45 ~ 20:37:46	讓技術開發
20:37:46 ~ 20:37:47	這個 stage
20:37:47 ~ 20:37:48	覺得是沒有先把
20:37:48 ~ 20:37:50	自己想到的
20:37:50 ~ 20:37:51	對啦
20:37:51 ~ 20:37:53	我對於
20:37:53 ~ 20:37:54	我們
20:37:54 ~ 20:37:55	台灣的學
20:37:55 ~ 20:37:56	公家單位
20:37:56 ~ 20:37:57	這個
20:37:57 ~ 20:37:58	視訊
20:37:58 ~ 20:37:59	然後都不能使用
20:37:59 ~ 20:38:00	用
20:38:00 ~ 20:38:01	這個
20:38:01 ~ 20:38:02	其實我也很有意見
20:38:02 ~ 20:38:04	全世界
20:38:04 ~ 20:38:05	大家都在用
20:38:05 ~ 20:38:06	這個
20:38:06 ~ 20:38:07	他就是台灣
20:38:07 ~ 20:38:08	所有
20:38:08 ~ 20:38:09	自安的問題
20:38:09 ~ 20:38:10	所以不准用
20:38:10 ~ 20:38:11	這個其實
20:38:11 ~ 20:38:12	其實
20:38:12 ~ 20:38:13	沒什麼到你
20:38:13 ~ 20:38:14	因為
20:38:14 ~ 20:38:15	少元
20:38:15 ~ 20:38:16	你要不要到你
20:38:16 ~ 20:38:17	那個
20:38:17 ~ 20:38:18	有
20:38:18 ~ 20:38:19	夜片的
20:38:19 ~ 20:38:20	內液
20:38:20 ~ 20:38:21	對
20:38:21 ~ 20:38:22	就
20:38:22 ~ 20:38:23	剛剛
20:38:23 ~ 20:38:24	那一頁
20:38:24 ~ 20:38:26	前面
20:38:26 ~ 20:38:27	前面
20:38:27 ~ 20:38:29	一頁
20:38:29 ~ 20:38:30	對
20:38:30 ~ 20:38:32	你要不要
20:38:32 ~ 20:38:33	解釋一下
20:38:33 ~ 20:38:33	
20:38:33 ~ 20:38:34	蝴蝶藍跟
20:38:34 ~ 20:38:36	蝴蝶
20:38:36 ~ 20:38:37	CAM跟
20:38:37 ~ 20:38:38	S3
20:38:38 ~ 20:38:40	就是他
20:38:40 ~ 20:38:42	那我直接回答嘛
20:38:42 ~ 20:38:44	那CAM跟
20:38:44 ~ 20:38:45	CAM
20:38:45 ~ 20:38:46	CAM做的
20:38:46 ~ 20:38:47	其實最大的差別
20:38:47 ~ 20:38:48	就是他們對
20:38:48 ~ 20:38:49	Tikon開的
20:38:49 ~ 20:38:50	是一個時間
20:38:50 ~ 20:38:51	其實會有差
20:38:51 ~ 20:38:52	那CAM做的
20:38:52 ~ 20:38:53	其實就是
20:38:53 ~ 20:38:54	白天
20:38:54 ~ 20:38:55	習慣了
20:38:55 ~ 20:38:56	就會開氣孔
20:38:56 ~ 20:38:57	其實有開氣孔
20:38:57 ~ 20:38:58	分度就會降下
20:38:58 ~ 20:38:59	但是蝴蝶
20:38:59 ~ 20:39:00	CAM做的
20:39:00 ~ 20:39:01	比較特別是他是
20:39:01 ~ 20:39:02	他是
20:39:02 ~ 20:39:03	晚上才開氣孔
20:39:03 ~ 20:39:04	就是沒有光照
20:39:04 ~ 20:39:05	這個時候才開氣孔
20:39:05 ~ 20:39:06	所以其實
20:39:06 ~ 20:39:07	這兩個在
20:39:07 ~ 20:39:08	表現上面
20:39:08 ~ 20:39:09	其實
20:39:09 ~ 20:39:10	應該是
20:39:10 ~ 20:39:11	蝴蝶讓他
20:39:11 ~ 20:39:12	可以看到
20:39:12 ~ 20:39:13	他會累積一些
20:39:13 ~ 20:39:14	能量在上面
20:39:14 ~ 20:39:14	
20:39:14 ~ 20:39:15	走到白天
20:39:15 ~ 20:39:16	光照
20:39:16 ~ 20:39:17	他溫度
20:39:17 ~ 20:39:18	應該
